CategoryId,Category Name,Total Products,Number of API Pages ,Direct Link
4044_103150_4037,Home/Furniture/Kitchen & Dining Furniture,24351,244,http://www.walmart.com/browse/4044_103150_4037
3944_3951_126297,Electronics/Computers/Networking,23957,240,http://www.walmart.com/browse/3944_3951_126297
1072864_1071485_1230875,Home Improvement/Kitchen Renovation/Kitchen Fixtures and Materials,23816,238,http://www.walmart.com/browse/1072864_1071485_1230875
4171_1111647_132912,"Toys/Play Vehicles, Trains & Remote Control/Trains & Train Sets",23327,233,http://www.walmart.com/browse/4171_1111647_132912
2637_615760_1088766,Party & Occasions/Halloween/All Costumes,22563,226,http://www.walmart.com/browse/2637_615760_1088766
5438_1045799_426265,Clothing/Bags & Accessories/Accessories,22157,222,http://www.walmart.com/browse/5438_1045799_426265
1072864_1067619_1228347,Home Improvement/Electrical/Light Bulbs,21946,220,http://www.walmart.com/browse/1072864_1067619_1228347
3891_1228254_1228256,Jewelry/Fine Jewelry/Fine Earrings,21923,219,http://www.walmart.com/browse/3891_1228254_1228256
1072864_1067612_1230759,Home Improvement/Hardware/Door Hardware,20833,208,http://www.walmart.com/browse/1072864_1067612_1230759
1072864_1067617_1067621,Home Improvement/Paint & Home Decor/Paint Prep & Application,19850,199,http://www.walmart.com/browse/1072864_1067617_1067621
91083_1074784_1072104,Auto & Tires/Exterior Car Accessories/Exterior Car Decoration,19571,196,http://www.walmart.com/browse/91083_1074784_1072104
4125_1063984_1063994,Sports & Outdoors/Sports Fan Shop/For the Home Fan Shop,19510,195,http://www.walmart.com/browse/4125_1063984_1063994
5438_133162_1228422,Clothing/Women/Women's Tops & T-Shirts,18980,190,http://www.walmart.com/browse/5438_133162_1228422
3891_1228254_1228255,Jewelry/Fine Jewelry/Fine Rings,18428,184,http://www.walmart.com/browse/3891_1228254_1228255
1072864_1031899_1067610,Home Improvement/Tools/Tool Equipment & Storage,18093,181,http://www.walmart.com/browse/1072864_1031899_1067610
91083_1074765_1196583,Auto & Tires/Auto Parts/Additional Auto Replacement Parts,17764,178,http://www.walmart.com/browse/91083_1074765_1196583
91083_1074769_1072094,Auto & Tires/Interior Car Accessories/Car Floor Mats & Cargo Mats,17117,171,http://www.walmart.com/browse/91083_1074769_1072094
1229749_1046059_1072366,Office/Office Supplies/Signs,16616,166,http://www.walmart.com/browse/1229749_1046059_1072366
1072864_1068865_1230761,Home Improvement/Home Security/Door Security Hardware,16298,163,http://www.walmart.com/browse/1072864_1068865_1230761
3891_540912_1228349,Jewelry/Wedding & Engagement/Engagement Rings,15960,160,http://www.walmart.com/browse/3891_540912_1228349
1229749_1046059_1044272,Office/Office Supplies/Adhesives & Fasteners,15959,160,http://www.walmart.com/browse/1229749_1046059_1044272
3891_1228263_1228265,Jewelry/Fashion Jewelry/Fashion Earrings,15803,158,http://www.walmart.com/browse/3891_1228263_1228265
4044_539095_133000,Home/Bath/Bathroom Accessories,15052,151,http://www.walmart.com/browse/4044_539095_133000
1072864_1067619_1231223,"Home Improvement/Electrical/Dimmers, Switches, and Wall Plates",14717,147,http://www.walmart.com/browse/1072864_1067619_1231223
1229749_1046059_1065165,Office/Office Supplies/Shipping & Mailroom,14235,142,http://www.walmart.com/browse/1229749_1046059_1065165
4044_623679_1032619,Home/Kitchen & Dining/Kitchen Storage & Organization,14232,142,http://www.walmart.com/browse/4044_623679_1032619
5438_1078024,Clothing/Intimates & Sleepwear,14091,141,http://www.walmart.com/browse/5438_1078024
1115193_1071966_1025741,Household Essentials/Cleaning Supplies/Cleaning Tools,14015,140,http://www.walmart.com/browse/1115193_1071966_1025741
3944_3951_1073804,Electronics/Computers/Computer Components,14008,140,http://www.walmart.com/browse/3944_3951_1073804
5438_133197_1228780,Clothing/Men/Men's Bottoms,13667,137,http://www.walmart.com/browse/5438_133197_1228780
3891_1228254_1228258,Jewelry/Fine Jewelry/Fine Bracelets & Charms,13330,133,http://www.walmart.com/browse/3891_1228254_1228258
4125_1063984_1063985,Sports & Outdoors/Sports Fan Shop/Clothing Fan Shop,13221,132,http://www.walmart.com/browse/4125_1063984_1063985
4044_539103,Home/Bedding,13020,130,http://www.walmart.com/browse/4044_539103
3944_133277_132913,Electronics/Cameras & Camcorders/Camera Accessories,12846,129,http://www.walmart.com/browse/3944_133277_132913
4044_539103_4756,Home/Bedding/Blankets & Throws,12780,128,http://www.walmart.com/browse/4044_539103_4756
4044_623679_133020,"Home/Kitchen & Dining/Cookware, Bakeware & Tools",12702,127,http://www.walmart.com/browse/4044_623679_133020
3891_1228263_1228264,Jewelry/Fashion Jewelry/Fashion Rings,12696,127,http://www.walmart.com/browse/3891_1228263_1228264
1229749_1086045_1044274,Office/School Supplies/Teaching & Classroom Supplies,12686,127,http://www.walmart.com/browse/1229749_1086045_1044274
1229749_1046059_1065164,Office/Office Supplies/Filing & Storage,12492,125,http://www.walmart.com/browse/1229749_1046059_1065164
5438_1045799_1045800,Clothing/Bags & Accessories/Handbags,12381,124,http://www.walmart.com/browse/5438_1045799_1045800
4044_90828_1230055,Home/Storage & Organization/Storage,12332,123,http://www.walmart.com/browse/4044_90828_1230055
4044_90828_1230059,Home/Storage & Organization/Storage Furniture,12311,123,http://www.walmart.com/browse/4044_90828_1230059
1072864_1067616_1067796,Home Improvement/Flooring/All Flooring,12188,122,http://www.walmart.com/browse/1072864_1067616_1067796
1229749_1086045_1091629,Office/School Supplies/School Furniture & Equipment,12147,122,http://www.walmart.com/browse/1229749_1086045_1091629
5438_133162_1228423,Clothing/Women/Women's Bottoms,12030,120,http://www.walmart.com/browse/5438_133162_1228423
1229749_1070964_3945,Office/Office Technology/Batteries,11921,119,http://www.walmart.com/browse/1229749_1070964_3945
3891_3906_1224986,Jewelry/Watches/Men's Watches,11732,117,http://www.walmart.com/browse/3891_3906_1224986
4044_133012_672579,Home/Decor/Frames,11601,116,http://www.walmart.com/browse/4044_133012_672579
4044_1154295_1156072,Home/Kids' Rooms/Kids' Decor,11362,114,http://www.walmart.com/browse/4044_1154295_1156072
4044_133012_1043781,Home/Decor/Room Dividers,11327,113,http://www.walmart.com/browse/4044_133012_1043781
1072864_1067619_1231248,Home Improvement/Electrical/Electrical Tools,11319,113,http://www.walmart.com/browse/1072864_1067619_1231248
4171_1111647_433927,"Toys/Play Vehicles, Trains & Remote Control/Remote Control Toys",11249,113,http://www.walmart.com/browse/4171_1111647_433927
2637_1042319_1042327,Party & Occasions/Party Supplies/Gift Wrap & Supplies,11206,112,http://www.walmart.com/browse/2637_1042319_1042327
4044_623679_639999,Home/Kitchen & Dining/Dining & Entertaining,11195,112,http://www.walmart.com/browse/4044_623679_639999
1072864_1067616_1067778,Home Improvement/Flooring/Molding,10966,110,http://www.walmart.com/browse/1072864_1067616_1067778
4044_1225301_1105746,Home/Featured Shops/Entryway,10563,106,http://www.walmart.com/browse/4044_1225301_1105746
4044_90828_1230061,"Home/Storage & Organization/Closet, Shoes & Jewelry Organizers",10532,105,http://www.walmart.com/browse/4044_90828_1230061
1229749_1070964_3977,Office/Office Technology/Phones & Accessories,10512,105,http://www.walmart.com/browse/1229749_1070964_3977
4044_103150_4038,Home/Furniture/Living Room Furniture,10483,105,http://www.walmart.com/browse/4044_103150_4038
4044_1154295_1155958,Home/Kids' Rooms/Kids' Furniture,10461,105,http://www.walmart.com/browse/4044_1154295_1155958
3891_540912_1228376,Jewelry/Wedding & Engagement/Wedding Bands,10372,104,http://www.walmart.com/browse/3891_540912_1228376
1072864_1230778_1230779,Home Improvement/Windows/Window Hardware,10264,103,http://www.walmart.com/browse/1072864_1230778_1230779
1072864_1067619_1231228,"Home Improvement/Electrical/Breakers, Distributors, and Load Centers",10111,101,http://www.walmart.com/browse/1072864_1067619_1231228
1072864_1045879_1230879,Home Improvement/Bathroom Renovation/Bathroom Hardware,9958,100,http://www.walmart.com/browse/1072864_1045879_1230879
4171_4173_164142,"Toys/Pretend Play, Arts & Crafts for Kids/Pretend Play & Dress Up",9948,100,http://www.walmart.com/browse/4171_4173_164142
5438_1045804_1045806,Clothing/Shoes/Women's Shoes,9722,97,http://www.walmart.com/browse/5438_1045804_1045806
3891_1228263_1228266,Jewelry/Fashion Jewelry/Fashion Pendants & Necklaces,9711,97,http://www.walmart.com/browse/3891_1228263_1228266
3944_133251_96890,Electronics/Audio/Stereos,9611,96,http://www.walmart.com/browse/3944_133251_96890
91083_1074784_1043580,Auto & Tires/Exterior Car Accessories/Trailer Hitches & Towing Equipment,9442,95,http://www.walmart.com/browse/91083_1074784_1043580
4044_103150_635499,Home/Furniture/TV Stands & Entertainment Centers,9214,92,http://www.walmart.com/browse/4044_103150_635499
5438_133199_1228786,Clothing/Boys/Boys' Tops & T-Shirts,9140,92,http://www.walmart.com/browse/5438_133199_1228786
1072864_1067617_1230534,Home Improvement/Paint & Home Decor/Wallpaper,9045,91,http://www.walmart.com/browse/1072864_1067617_1230534
4171_14521_132873,Toys/Outdoor Play/Swimming Pools & Waterslides,8793,88,http://www.walmart.com/browse/4171_14521_132873
4044_90548_90546,Home/Appliances/Kitchen Appliances,8781,88,http://www.walmart.com/browse/4044_90548_90546
1072864_133113_132914,Home Improvement/Lighting & Light Fixtures/Ceiling Fixtures,8665,87,http://www.walmart.com/browse/1072864_133113_132914
5438_584291_1228361,Clothing/Baby & Toddler/Baby & Toddler Bodysuits,8487,85,http://www.walmart.com/browse/5438_584291_1228361
5438_133201_1228777,Clothing/Juniors/Juniors Tops & T-Shirts,8428,84,http://www.walmart.com/browse/5438_133201_1228777
976760_1005860_1224839,Health/Home Health Care/Mobility Equipment Accessories,8332,83,http://www.walmart.com/browse/976760_1005860_1224839
5438_133162_592996,Clothing/Women/Women's Activewear,8328,83,http://www.walmart.com/browse/5438_133162_592996
976760_1005863_1001553,Health/Vitamins/Vitamins,8116,81,http://www.walmart.com/browse/976760_1005863_1001553
3891_1228263_1228267,Jewelry/Fashion Jewelry/Fashion Bracelets & Charms,8109,81,http://www.walmart.com/browse/3891_1228263_1228267
1072864_133032_1231142,"Home Improvement/Heating, Cooling, & Air Quality/Heaters",8075,81,http://www.walmart.com/browse/1072864_133032_1231142
4125_546956,Sports & Outdoors/Outdoor Sports,7894,79,http://www.walmart.com/browse/4125_546956
3944_133277_1231377,Electronics/Cameras & Camcorders/Camcorder Accessories,7822,78,http://www.walmart.com/browse/3944_133277_1231377
1115193_1071966_1072133,Household Essentials/Cleaning Supplies/All-Purpose Cleaners,7712,77,http://www.walmart.com/browse/1115193_1071966_1072133
4044_133012_1043827,Home/Decor/Vases,7645,77,http://www.walmart.com/browse/4044_133012_1043827
1072864_1067612_1230791,Home Improvement/Hardware/Hooks,7575,76,http://www.walmart.com/browse/1072864_1067612_1230791
1072864_1172176_1231291,"Home Improvement/Building Materials/Sealants, Fillers and Adhesives",7361,74,http://www.walmart.com/browse/1072864_1172176_1231291
1085666_133225_1058964,Beauty/Fragrances/All Fragrances,7333,73,http://www.walmart.com/browse/1085666_133225_1058964
5438_1045799_1045801,Clothing/Bags & Accessories/Backpacks & Messenger Bags,7317,73,http://www.walmart.com/browse/5438_1045799_1045801
5438_133162_538874,Clothing/Women/Women's Dresses,7314,73,http://www.walmart.com/browse/5438_133162_538874
5438_133197_592999,Clothing/Men/Men's Activewear,7246,73,http://www.walmart.com/browse/5438_133197_592999
4044_539103_126445,Home/Bedding/Duvets & Duvet Sets,7230,72,http://www.walmart.com/browse/4044_539103_126445
1072864_1230390_1230392,Home Improvement/Welding and Soldering/Welding Parts and Accessories,7204,72,http://www.walmart.com/browse/1072864_1230390_1230392
4044_133224_133134,Home/Personalized Gifts/Personalized Clothing & Accessories,7203,72,http://www.walmart.com/browse/4044_133224_133134
4171_1111647_1044001,"Toys/Play Vehicles, Trains & Remote Control/Models & Hobby",7096,71,http://www.walmart.com/browse/4171_1111647_1044001
91083_1074769_1043577,Auto & Tires/Interior Car Accessories/Interior Car Accessories,7081,71,http://www.walmart.com/browse/91083_1074769_1043577
5438_1045804_1045805,Clothing/Shoes/Baby & Kids Shoes,7063,71,http://www.walmart.com/browse/5438_1045804_1045805
1105910_133161_1072308,Cell Phones/Accessories/Car Mounts,7023,70,http://www.walmart.com/browse/1105910_133161_1072308
1229749_1046059_1072376,Office/Office Supplies/Office Basics,6986,70,http://www.walmart.com/browse/1229749_1046059_1072376
1072864_1230758_1230763,Home Improvement/Doors and Gates/Outside Decoration,6874,69,http://www.walmart.com/browse/1072864_1230758_1230763
91083_1074767_1043574,Auto & Tires/Auto Body Tools & Equipment/Auto Repair Tools,6798,68,http://www.walmart.com/browse/91083_1074767_1043574
1115193_1071966_1072129,Household Essentials/Cleaning Supplies/Surface Care & Protection,6796,68,http://www.walmart.com/browse/1115193_1071966_1072129
4044_103150_102547,Home/Furniture/Bedroom Furniture,6785,68,http://www.walmart.com/browse/4044_103150_102547
4044_133012_642059,Home/Decor/Clocks,6770,68,http://www.walmart.com/browse/4044_133012_642059
4125_546956_1230687,Sports & Outdoors/Outdoor Sports/Emergency Prep,6700,67,http://www.walmart.com/browse/4125_546956_1230687
5427_414099,Baby/Nursery Furniture,6684,67,http://www.walmart.com/browse/5427_414099
4044_539095_533461,Home/Bath/Shower Curtains,6527,65,http://www.walmart.com/browse/4044_539095_533461
976760_1078944_1032920,Health/Walmart Vision Centers/Sunglasses,6487,65,http://www.walmart.com/browse/976760_1078944_1032920
4171_14521_49756,Toys/Outdoor Play/Outdoor Games,6456,65,http://www.walmart.com/browse/4171_14521_49756
3891_3906_1224985,Jewelry/Watches/Women's Watches,6376,64,http://www.walmart.com/browse/3891_3906_1224985
4044_444253_444260,Home/Luggage/Travel Accessories,6348,64,http://www.walmart.com/browse/4044_444253_444260
4044_133012,Home/Decor,6286,63,http://www.walmart.com/browse/4044_133012
5438_1078024_1043713,Clothing/Intimates & Sleepwear/Socks & Hosiery,6187,62,http://www.walmart.com/browse/5438_1078024_1043713
4171_4172_1156794,Toys/Action Figures/Action Figure Playsets,6170,62,http://www.walmart.com/browse/4171_4172_1156794
976760_976798_641119,Health/Medicine Cabinet/Braces & Supports,6080,61,http://www.walmart.com/browse/976760_976798_641119
4125_546956_4128,Sports & Outdoors/Outdoor Sports/Camping,5991,60,http://www.walmart.com/browse/4125_546956_4128
4171_645779_613041,Toys/Arts & Crafts for Kids/Drawing & Coloring,5976,60,http://www.walmart.com/browse/4171_645779_613041
4044_133012_12785,Home/Decor/Slipcovers,5913,59,http://www.walmart.com/browse/4044_133012_12785
5438_133197_532348,Clothing/Men/Men's Jackets & Outerwear,5814,58,http://www.walmart.com/browse/5438_133197_532348
4044_90548_1231154,Home/Appliances/Water Purification,5792,58,http://www.walmart.com/browse/4044_90548_1231154
5438_1078024_1228569,Clothing/Intimates & Sleepwear/Sleepwear & Robes,5729,57,http://www.walmart.com/browse/5438_1078024_1228569
1085666_1007219_1019580,Beauty/Hair Care/Hair Brushes & Styling Accessories,5719,57,http://www.walmart.com/browse/1085666_1007219_1019580
3944_133251_1095191,Electronics/Audio/Headphones,5630,56,http://www.walmart.com/browse/3944_133251_1095191
1072864_1068865_971281,Home Improvement/Home Security/All Home Security,5625,56,http://www.walmart.com/browse/1072864_1068865_971281
5438_1045799_1043858,Clothing/Bags & Accessories/Wallets,5505,55,http://www.walmart.com/browse/5438_1045799_1043858
1072864_133032_1230511,"Home Improvement/Heating, Cooling, & Air Quality/Fans",5388,54,http://www.walmart.com/browse/1072864_133032_1230511
4044_133012_1045881,Home/Decor/Art & Wall Decor,5358,54,http://www.walmart.com/browse/4044_133012_1045881
1072864_1067619_1231213,Home Improvement/Electrical/Outlets,5272,53,http://www.walmart.com/browse/1072864_1067619_1231213
5438_133198_1228782,Clothing/Big & Tall/Big & Tall Tops & T-Shirts,5118,51,http://www.walmart.com/browse/5438_133198_1228782
1072864_1067616_1067813,Home Improvement/Flooring/Ceramic Tile,5099,51,http://www.walmart.com/browse/1072864_1067616_1067813
1105910_133161_1072306,Cell Phones/Accessories/Chargers,5018,50,http://www.walmart.com/browse/1105910_133161_1072306
5438_584291_1228362,Clothing/Baby & Toddler/Baby & Toddler Outfit Sets,4963,50,http://www.walmart.com/browse/5438_584291_1228362
5438_1045804_1045807,Clothing/Shoes/Men's Shoes,4961,50,http://www.walmart.com/browse/5438_1045804_1045807
5438_133202_1228784,Clothing/Girls/Girls' Tops & T-Shirts,4879,49,http://www.walmart.com/browse/5438_133202_1228784
4044_539103_1024979,Home/Bedding/Quilts & Bedspreads,4829,48,http://www.walmart.com/browse/4044_539103_1024979
5438_133195_1228775,Clothing/Women's Plus/Women's Plus Tops & T-Shirts,4757,48,http://www.walmart.com/browse/5438_133195_1228775
1072864_1071485_1230864,Home Improvement/Kitchen Renovation/Kitchen Plumbing,4675,47,http://www.walmart.com/browse/1072864_1071485_1230864
4096_530598_530698,Movies & TV/Movies/Action & Adventure,4663,47,http://www.walmart.com/browse/4096_530598_530698
3891_3906_1012759,Jewelry/Watches/All Watches,4661,47,http://www.walmart.com/browse/3891_3906_1012759
4044_90828_163942,Home/Storage & Organization/Laundry Organization,4656,47,http://www.walmart.com/browse/4044_90828_163942
5438_133284_1227863,Clothing/Maternity/Maternity Tops & T-Shirts,4624,46,http://www.walmart.com/browse/5438_133284_1227863
1229749_1086977_1086987,Office/Janitorial Supplies/Cleaners & Cleaning Supplies,4585,46,http://www.walmart.com/browse/1229749_1086977_1086987
1229749_1046059_1072369,Office/Office Supplies/Arts & Crafts,4559,46,http://www.walmart.com/browse/1229749_1046059_1072369
1085666_1071969_1074364,Beauty/Bath & Body/Body Cleansers,4494,45,http://www.walmart.com/browse/1085666_1071969_1074364
4044_1154295_1156114,Home/Kids' Rooms/Kids' Bedding,4421,44,http://www.walmart.com/browse/4044_1154295_1156114
976759_976782_1001320,Food/Beverages/Tea,4218,42,http://www.walmart.com/browse/976759_976782_1001320
5438_133195_1228776,Clothing/Women's Plus/Women's Plus Bottoms,4200,42,http://www.walmart.com/browse/5438_133195_1228776
4125_1063984_1063993,Sports & Outdoors/Sports Fan Shop/Electronics Fan Shop,4156,42,http://www.walmart.com/browse/4125_1063984_1063993
1072864_133032_1231459,"Home Improvement/Heating, Cooling, & Air Quality/Air Quality",4083,41,http://www.walmart.com/browse/1072864_133032_1231459
5438_133201_1228778,Clothing/Juniors/Juniors Bottoms,4032,40,http://www.walmart.com/browse/5438_133201_1228778
1229749_1070964_4439,Office/Office Technology/Scanners,3976,40,http://www.walmart.com/browse/1229749_1070964_4439
1072864_1067612_1230792,Home Improvement/Hardware/Tie Downs,3905,39,http://www.walmart.com/browse/1072864_1067612_1230792
4096_530598_530709,Movies & TV/Movies/Horror,3891,39,http://www.walmart.com/browse/4096_530598_530709
5438_584291_1228352,Clothing/Baby & Toddler/Baby & Toddler Dresses,3884,39,http://www.walmart.com/browse/5438_584291_1228352
4044_90548_1043765,Home/Appliances/Ovens & Ranges,3794,38,http://www.walmart.com/browse/4044_90548_1043765
1072864_1067618_656639,Home Improvement/Garage & Storage/Garage Storage Shelving,3771,38,http://www.walmart.com/browse/1072864_1067618_656639
976759_976787_1001390,"Food/Snacks, Cookies & Chips/Chips",3707,37,http://www.walmart.com/browse/976759_976787_1001390
2637_667479_1094704,Party & Occasions/Crafts/Sewing Machines & Accessories,3694,37,http://www.walmart.com/browse/2637_667479_1094704
4044_539095_920259,Home/Bath/Bath Rugs & Mats,3680,37,http://www.walmart.com/browse/4044_539095_920259
5438_133199_1228787,Clothing/Boys/Boys' Bottoms,3678,37,http://www.walmart.com/browse/5438_133199_1228787
4044_539103_1095008,Home/Bedding/Basic Bedding,3647,37,http://www.walmart.com/browse/4044_539103_1095008
91083_1074784_1072102,Auto & Tires/Exterior Car Accessories/Car Covers & Car Protection,3641,37,http://www.walmart.com/browse/91083_1074784_1072102
4044_444253_651265,Home/Luggage/Luggage Sets,3630,36,http://www.walmart.com/browse/4044_444253_651265
5438_584291_1228366,Clothing/Baby & Toddler/Baby & Toddler Tops & T-Shirts,3618,36,http://www.walmart.com/browse/5438_584291_1228366
3891_132987,Jewelry/Jewelry Storage,3607,36,http://www.walmart.com/browse/3891_132987
1072864_1067612_1067775,Home Improvement/Hardware/Brackets & Angle Irons,3597,36,http://www.walmart.com/browse/1072864_1067612_1067775
4044_133012_539105,Home/Decor/Curtains & Window Treatments,3584,36,http://www.walmart.com/browse/4044_133012_539105
3944_3951_1089430,Electronics/Computers/Laptops,3580,36,http://www.walmart.com/browse/3944_3951_1089430
91083_1074766_1044302,Auto & Tires/Car Safety & Car Security/Auto Safety Accessories,3558,36,http://www.walmart.com/browse/91083_1074766_1044302
4044_539103_4754,Home/Bedding/Comforters,3554,36,http://www.walmart.com/browse/4044_539103_4754
5438_133202_1228785,Clothing/Girls/Girls' Bottoms,3469,35,http://www.walmart.com/browse/5438_133202_1228785
4044_539095_1030320,Home/Bath/Towels,3464,35,http://www.walmart.com/browse/4044_539095_1030320
5438_584291_1228355,Clothing/Baby & Toddler/Baby & Toddler Bottoms,3425,34,http://www.walmart.com/browse/5438_584291_1228355
4096_530598_530701,Movies & TV/Movies/Children & Family,3403,34,http://www.walmart.com/browse/4096_530598_530701
5438_133162_163846,Clothing/Women/Women's Swimwear,3339,34,http://www.walmart.com/browse/5438_133162_163846
5438_133202_479119,Clothing/Girls/Girls' Dresses & Rompers,3303,33,http://www.walmart.com/browse/5438_133202_479119
976759_1071964_976788,"Food/Fresh Food/Dairy, Eggs & Cheese",3234,32,http://www.walmart.com/browse/976759_1071964_976788
4044_539103_133144,Home/Bedding/Mattress Pads & Toppers,3224,32,http://www.walmart.com/browse/4044_539103_133144
4044_539103_133061,Home/Bedding/Sheets,3171,32,http://www.walmart.com/browse/4044_539103_133061
91083_3947_544376,Auto & Tires/Auto Electronics/Auto Accessories,3142,32,http://www.walmart.com/browse/91083_3947_544376
91083_1074784_1072103,Auto & Tires/Exterior Car Accessories/Cargo Management System,3128,31,http://www.walmart.com/browse/91083_1074784_1072103
4044_133224_133058,Home/Personalized Gifts/Decor,3128,31,http://www.walmart.com/browse/4044_133224_133058
5427_491351_465041,Baby/Activities & Toys/Learning Toys,3116,31,http://www.walmart.com/browse/5427_491351_465041
1085666_1007040_1001529,Beauty/Makeup/Nails,3105,31,http://www.walmart.com/browse/1085666_1007040_1001529
1072864_1230758_1067793,Home Improvement/Doors and Gates/Doors,3103,31,http://www.walmart.com/browse/1072864_1230758_1067793
1085666_1007039_1001508,Beauty/Skin Care/Sun Care,3090,31,http://www.walmart.com/browse/1085666_1007039_1001508
4171_4172_133130,Toys/Action Figures/Action Figures,3089,31,http://www.walmart.com/browse/4171_4172_133130
1072864_133113_1070024,Home Improvement/Lighting & Light Fixtures/Wall Fixtures,3087,31,http://www.walmart.com/browse/1072864_133113_1070024
4096_530719_1010219,Movies & TV/TV Shows/Anime & Animation,3050,31,http://www.walmart.com/browse/4096_530719_1010219
1085666_1007039_596676,Beauty/Skin Care/Skin Care Tools,3045,31,http://www.walmart.com/browse/1085666_1007039_596676
2637_667479_1095482,Party & Occasions/Crafts/Patterns,2922,29,http://www.walmart.com/browse/2637_667479_1095482
1072864_1067617_1067620,Home Improvement/Paint & Home Decor/Paints and Primers,2858,29,http://www.walmart.com/browse/1072864_1067617_1067620
1085666_1007040_1001498,Beauty/Makeup/Beauty Tools & Accessories,2822,28,http://www.walmart.com/browse/1085666_1007040_1001498
5438_133198_1228783,Clothing/Big & Tall/Big & Tall Bottoms,2704,27,http://www.walmart.com/browse/5438_133198_1228783
1072864_133032_1231118,"Home Improvement/Heating, Cooling, & Air Quality/HVAC Ducting and Ventilation",2700,27,http://www.walmart.com/browse/1072864_133032_1231118
3944_133277_4468,Electronics/Cameras & Camcorders/All Cameras,2682,27,http://www.walmart.com/browse/3944_133277_4468
4096_1228693_1228694,Movies & TV/Instawatch/Shop Instawatch,2583,26,http://www.walmart.com/browse/4096_1228693_1228694
1072864_1172176_1044062,Home Improvement/Building Materials/Decking & Railing,2551,26,http://www.walmart.com/browse/1072864_1172176_1044062
4044_90548_4047,Home/Appliances/Vacuums & Floor Care,2549,26,http://www.walmart.com/browse/4044_90548_4047
1072864_1230395_1228551,Home Improvement/Work Safety Clothing and Equipment/Men's Work & Safety Shoes,2541,26,http://www.walmart.com/browse/1072864_1230395_1228551
91083_3947_38981,Auto & Tires/Auto Electronics/Car Speakers & Subwoofers,2524,25,http://www.walmart.com/browse/91083_3947_38981
4044_90828_1230064,Home/Storage & Organization/Office Storage,2515,25,http://www.walmart.com/browse/4044_90828_1230064
5438_133197_1224678,Clothing/Men/Men's Sweaters & Hoodies,2477,25,http://www.walmart.com/browse/5438_133197_1224678
976760_1005860_660679,Health/Home Health Care/Scrubs,2445,25,http://www.walmart.com/browse/976760_1005860_660679
4171_1111647_132910,"Toys/Play Vehicles, Trains & Remote Control/Play Vehicles",2442,25,http://www.walmart.com/browse/4171_1111647_132910
1072864_1172176_1044054,Home Improvement/Building Materials/Other Building Products,2422,24,http://www.walmart.com/browse/1072864_1172176_1044054
5438_133202_1218843,Clothing/Girls/Girls' Activewear,2372,24,http://www.walmart.com/browse/5438_133202_1218843
4044_133012_1043785,Home/Decor/Coat Racks & Umbrella Stands,2361,24,http://www.walmart.com/browse/4044_133012_1043785
1072864_1045879_1071485,Home Improvement/Bathroom Renovation/Kitchen Renovation,2355,24,http://www.walmart.com/browse/1072864_1045879_1071485
5438_133162_163847,Clothing/Women/Women's Jackets & Outerwear,2345,24,http://www.walmart.com/browse/5438_133162_163847
