category,start page,last page,"Category Name, you MUST delete this column!"
976760_1078944_1032920,1,65,Health/Walmart Vision Centers/Sunglasses
4171_14521_49756,1,65,Toys/Outdoor Play/Outdoor Games
3891_3906_1224985,1,64,Jewelry/Watches/Women's Watches
4044_444253_444260,1,64,Home/Luggage/Travel Accessories
4044_133012,1,63,Home/Decor
5438_1078024_1043713,1,62,Clothing/Intimates & Sleepwear/Socks & Hosiery
4171_4172_1156794,1,62,Toys/Action Figures/Action Figure Playsets
976760_976798_641119,1,61,Health/Medicine Cabinet/Braces & Supports
4125_546956_4128,1,60,Sports & Outdoors/Outdoor Sports/Camping
4171_645779_613041,1,60,Toys/Arts & Crafts for Kids/Drawing & Coloring
4044_133012_12785,1,59,Home/Decor/Slipcovers
5438_133197_532348,1,58,Clothing/Men/Men's Jackets & Outerwear
4044_90548_1231154,1,58,Home/Appliances/Water Purification
5438_1078024_1228569,1,57,Clothing/Intimates & Sleepwear/Sleepwear & Robes
1085666_1007219_1019580,1,57,Beauty/Hair Care/Hair Brushes & Styling Accessories
3944_133251_1095191,1,56,Electronics/Audio/Headphones
1072864_1068865_971281,1,56,Home Improvement/Home Security/All Home Security
5438_1045799_1043858,1,55,Clothing/Bags & Accessories/Wallets
1072864_133032_1230511,1,54,"Home Improvement/Heating, Cooling, & Air Quality/Fans"
4044_133012_1045881,1,54,Home/Decor/Art & Wall Decor
1072864_1067619_1231213,1,53,Home Improvement/Electrical/Outlets
5438_133198_1228782,1,51,Clothing/Big & Tall/Big & Tall Tops & T-Shirts
1072864_1067616_1067813,1,51,Home Improvement/Flooring/Ceramic Tile
1105910_133161_1072306,1,50,Cell Phones/Accessories/Chargers
5438_584291_1228362,1,50,Clothing/Baby & Toddler/Baby & Toddler Outfit Sets
5438_1045804_1045807,1,50,Clothing/Shoes/Men's Shoes
5438_133202_1228784,1,49,Clothing/Girls/Girls' Tops & T-Shirts
4044_539103_1024979,1,48,Home/Bedding/Quilts & Bedspreads
5438_133195_1228775,1,48,Clothing/Women's Plus/Women's Plus Tops & T-Shirts
1072864_1071485_1230864,1,47,Home Improvement/Kitchen Renovation/Kitchen Plumbing
4096_530598_530698,1,47,Movies & TV/Movies/Action & Adventure
3891_3906_1012759,1,47,Jewelry/Watches/All Watches
4044_90828_163942,1,47,Home/Storage & Organization/Laundry Organization
5438_133284_1227863,1,46,Clothing/Maternity/Maternity Tops & T-Shirts
1229749_1086977_1086987,1,46,Office/Janitorial Supplies/Cleaners & Cleaning Supplies
1229749_1046059_1072369,1,46,Office/Office Supplies/Arts & Crafts
1085666_1071969_1074364,1,45,Beauty/Bath & Body/Body Cleansers
4044_1154295_1156114,1,44,Home/Kids' Rooms/Kids' Bedding
976759_976782_1001320,1,42,Food/Beverages/Tea
5438_133195_1228776,1,42,Clothing/Women's Plus/Women's Plus Bottoms
4125_1063984_1063993,1,42,Sports & Outdoors/Sports Fan Shop/Electronics Fan Shop
1072864_133032_1231459,1,41,"Home Improvement/Heating, Cooling, & Air Quality/Air Quality"
5438_133201_1228778,1,40,Clothing/Juniors/Juniors Bottoms
1229749_1070964_4439,1,40,Office/Office Technology/Scanners
1072864_1067612_1230792,1,39,Home Improvement/Hardware/Tie Downs
4096_530598_530709,1,39,Movies & TV/Movies/Horror
5438_584291_1228352,1,39,Clothing/Baby & Toddler/Baby & Toddler Dresses
4044_90548_1043765,1,38,Home/Appliances/Ovens & Ranges
1072864_1067618_656639,1,38,Home Improvement/Garage & Storage/Garage Storage Shelving
976759_976787_1001390,1,37,"Food/Snacks, Cookies & Chips/Chips"
2637_667479_1094704,1,37,Party & Occasions/Crafts/Sewing Machines & Accessories
4044_539095_920259,1,37,Home/Bath/Bath Rugs & Mats
5438_133199_1228787,1,37,Clothing/Boys/Boys' Bottoms
4044_539103_1095008,1,37,Home/Bedding/Basic Bedding
91083_1074784_1072102,1,37,Auto & Tires/Exterior Car Accessories/Car Covers & Car Protection
4044_444253_651265,1,36,Home/Luggage/Luggage Sets
5438_584291_1228366,1,36,Clothing/Baby & Toddler/Baby & Toddler Tops & T-Shirts
3891_132987,1,36,Jewelry/Jewelry Storage
1072864_1067612_1067775,1,36,Home Improvement/Hardware/Brackets & Angle Irons
4044_133012_539105,1,36,Home/Decor/Curtains & Window Treatments
3944_3951_1089430,1,36,Electronics/Computers/Laptops
91083_1074766_1044302,1,36,Auto & Tires/Car Safety & Car Security/Auto Safety Accessories
4044_539103_4754,1,36,Home/Bedding/Comforters
5438_133202_1228785,1,35,Clothing/Girls/Girls' Bottoms
4044_539095_1030320,1,35,Home/Bath/Towels
5438_584291_1228355,1,34,Clothing/Baby & Toddler/Baby & Toddler Bottoms
4096_530598_530701,1,34,Movies & TV/Movies/Children & Family
5438_133162_163846,1,34,Clothing/Women/Women's Swimwear
5438_133202_479119,1,33,Clothing/Girls/Girls' Dresses & Rompers
976759_1071964_976788,1,32,"Food/Fresh Food/Dairy, Eggs & Cheese"
4044_539103_133144,1,32,Home/Bedding/Mattress Pads & Toppers
4044_539103_133061,1,32,Home/Bedding/Sheets
91083_3947_544376,1,32,Auto & Tires/Auto Electronics/Auto Accessories
91083_1074784_1072103,1,31,Auto & Tires/Exterior Car Accessories/Cargo Management System
4044_133224_133058,1,31,Home/Personalized Gifts/Decor
5427_491351_465041,1,31,Baby/Activities & Toys/Learning Toys
1085666_1007040_1001529,1,31,Beauty/Makeup/Nails
1072864_1230758_1067793,1,31,Home Improvement/Doors and Gates/Doors
1085666_1007039_1001508,1,31,Beauty/Skin Care/Sun Care
4171_4172_133130,1,31,Toys/Action Figures/Action Figures
1072864_133113_1070024,1,31,Home Improvement/Lighting & Light Fixtures/Wall Fixtures
4096_530719_1010219,1,31,Movies & TV/TV Shows/Anime & Animation
1085666_1007039_596676,1,31,Beauty/Skin Care/Skin Care Tools
2637_667479_1095482,1,29,Party & Occasions/Crafts/Patterns
1072864_1067617_1067620,1,29,Home Improvement/Paint & Home Decor/Paints and Primers
1085666_1007040_1001498,1,28,Beauty/Makeup/Beauty Tools & Accessories
5438_133198_1228783,1,27,Clothing/Big & Tall/Big & Tall Bottoms
1072864_133032_1231118,1,27,"Home Improvement/Heating, Cooling, & Air Quality/HVAC Ducting and Ventilation"
3944_133277_4468,1,27,Electronics/Cameras & Camcorders/All Cameras
4096_1228693_1228694,1,26,Movies & TV/Instawatch/Shop Instawatch
1072864_1172176_1044062,1,26,Home Improvement/Building Materials/Decking & Railing
4044_90548_4047,1,26,Home/Appliances/Vacuums & Floor Care
1072864_1230395_1228551,1,26,Home Improvement/Work Safety Clothing and Equipment/Men's Work & Safety Shoes
91083_3947_38981,1,25,Auto & Tires/Auto Electronics/Car Speakers & Subwoofers
4044_90828_1230064,1,25,Home/Storage & Organization/Office Storage
5438_133197_1224678,1,25,Clothing/Men/Men's Sweaters & Hoodies
976760_1005860_660679,1,25,Health/Home Health Care/Scrubs
4171_1111647_132910,1,25,"Toys/Play Vehicles, Trains & Remote Control/Play Vehicles"
1072864_1172176_1044054,1,24,Home Improvement/Building Materials/Other Building Products
5438_133202_1218843,1,24,Clothing/Girls/Girls' Activewear
4044_133012_1043785,1,24,Home/Decor/Coat Racks & Umbrella Stands
1072864_1045879_1071485,1,24,Home Improvement/Bathroom Renovation/Kitchen Renovation
5438_133162_163847,1,24,Clothing/Women/Women's Jackets & Outerwear
5438_133197_1224982,1,23,Clothing/Men/Men's Socks
976759_1071964_976779,1,23,Food/Fresh Food/Bakery & Bread
1085666_1007040_1001527,1,23,Beauty/Makeup/Lips
4096_530719_531643,1,23,Movies & TV/TV Shows/Drama
1085666_1007219_1007019,1,22,Beauty/Hair Care/Styling Products
3944_3951_443023,1,22,Electronics/Computers/Software
1072864_1067616_1067814,1,22,Home Improvement/Flooring/Hardwood Flooring
1072864_1068865_1231051,1,21,Home Improvement/Home Security/Fire Safety
976760_1005860_1070344,1,21,Health/Home Health Care/Patient Care
1072864_1172176_1231263,1,21,Home Improvement/Building Materials/Rubber
1072864_1067618_1224731,1,21,Home Improvement/Garage & Storage/Rolling & Portable Storage
1085666_1005862_1007221,1,21,Beauty/Personal Care/Oral Care
1072864_133032_133026,1,21,"Home Improvement/Heating, Cooling, & Air Quality/Air Conditioners"
1115193_1073264_1149385,1,21,Household Essentials/Paper & Plastic/Trash Bags
1072864_1045879_1230858,1,21,Home Improvement/Bathroom Renovation/Bath Safety
91083_1074769_1072099,1,20,Auto & Tires/Interior Car Accessories/Car Sun Shades
91083_1074769_1072097,1,20,Auto & Tires/Interior Car Accessories/Car Organizers
4104_4115_5096,1,20,Music/Pop/Pop Rock
3944_96469_133271,1,20,Electronics/Portable Audio/MP3 Accessories
1072864_1231265_4338,1,20,Home Improvement/Generators/All Generators
1085666_1007219_1007001,1,20,Beauty/Hair Care/Shampoos
4044_539103_580812,1,20,Home/Bedding/Bed Skirts & Dust Ruffles
4096_530598_530705,1,20,Movies & TV/Movies/Drama
976759_1071964_976796,1,20,"Food/Fresh Food/Meat, Seafood & Poultry"
4096_530719_531641,1,20,Movies & TV/TV Shows/Comedy
5427_133283_133039,1,19,Baby/Feeding/Gliders & Rockers
4171_4173_645779,1,19,"Toys/Pretend Play, Arts & Crafts for Kids/Arts & Crafts for Kids"
5438_133162_1199498,1,19,Clothing/Women/Women's Sweaters & Cardigans
1229749_1070964_1085031,1,19,Office/Office Technology/Cash Registers
5438_1078024_1078030,1,19,Clothing/Intimates & Sleepwear/Shapewear
5438_133201_577415,1,19,Clothing/Juniors/Juniors Dresses
976759_976782_1001321,1,19,Food/Beverages/Juice
2637_667479_1043543,1,19,Party & Occasions/Crafts/Beading & Jewelry Making
3944_1078524_1084930,1,18,Electronics/iPad & Tablets/Apple iPad Accessories
4096_530719_530717,1,18,Movies & TV/TV Shows/Sports
2637_667479_1095564,1,18,Party & Occasions/Crafts/Clothing Crafting
1115193_1073264_1149383,1,18,Household Essentials/Paper & Plastic/Paper Towels & Napkins
1072864_1067617,1,18,Home Improvement/Paint & Home Decor
3891_1228254_1228259,1,18,Jewelry/Fine Jewelry/Fine Jewelry Sets
4096_530598_530703,1,18,Movies & TV/Movies/Comedy
4044_133224_132953,1,18,Home/Personalized Gifts/Personalized Kitchen & Dining
1072864_1067619_1231219,1,18,Home Improvement/Electrical/Extension Cords
1085666_1007040_1001526,1,18,Beauty/Makeup/Face
976759_976787_1001391,1,18,"Food/Snacks, Cookies & Chips/Cookies"
4096_530719_531639,1,18,Movies & TV/TV Shows/Children & Family
5438_133202_559973,1,17,"Clothing/Girls/Girls' Bras, Socks & Underwear"
5438_133197_1224981,1,17,Clothing/Men/Men's Underwear & Undershirts
91083_1074765_1043583,1,17,Auto & Tires/Auto Parts/Spark Plugs
1072864_1172176_1231030,1,17,Home Improvement/Building Materials/Ladders
1085666_1071969_1001516,1,17,Beauty/Bath & Body/Bath Accessories
1115193_1073264_1149388,1,17,Household Essentials/Paper & Plastic/Disposable Tabletop
1085666_1007039_1001504,1,17,Beauty/Skin Care/Moisturizers
1085666_1005862,1,17,Beauty/Personal Care
976759_976794_1007519,1,17,"Food/Meal Solutions, Grains & Pasta/Pasta & Noodles"
4044_90548_104900,1,16,"Home/Appliances/Wine, Beer, & Beverage Chillers"
3944_77622_1076626,1,16,Electronics/Home Audio & Theater/Speaker Cables & Connectors
4171_1015079_1097690,1,16,Toys/Musical Instruments & Karaoke/DJ Equipment
3944_1078524_1078084,1,16,Electronics/iPad & Tablets/Tablet PCs
4096_616859_617005,1,16,Movies & TV/Blu-ray/Drama
91083_1074765_1044303,1,16,Auto & Tires/Auto Parts/Engine Air Filters
4096_616859_616999,1,16,Movies & TV/Blu-ray/Action & Adventure
1072864_1068865_1231016,1,16,Home Improvement/Home Security/Safes & Lockboxes
5428_4091_1229588,1,16,Patio & Garden/Gardening & Lawn Care/Gardening
4044_539103_1043821,1,16,Home/Bedding/Pillow Cases
4044_90828_163960,1,16,Home/Storage & Organization/Shelving
2637_633379_1228459,1,16,Party & Occasions/Christmas Decor/Collectible Figurines & Buildings
4104_4118_5090,1,16,Music/Rock/Alternative
4044_133012_1157472,1,15,Home/Decor/Poufs & Floor Pillows
4044_1154295_1143252,1,15,Home/Kids' Rooms/Kids' Bathroom
1085666_1007219_1007000,1,15,Beauty/Hair Care/Conditioners
5438_133202_1009099,1,15,Clothing/Girls/Girls' Outfit Sets
4125_4161_1043958,1,15,Sports & Outdoors/Team Sports/Sports & Duffel Bags
5438_133201,1,15,Clothing/Juniors
5438_133284_538919,1,15,Clothing/Maternity/Nursing Bras & Tanks
5438_584291_1228364,1,15,Clothing/Baby & Toddler/Baby & Toddler Sleepwear
5440_202072_1015000,1,14,Pets/Dogs/Dog Food
1072864_1230393_1067781,1,14,Home Improvement/Home Improvement Lubricants and Cleaning Supplies/Home Improvement Lubricants & Greases
4044_539103_133141,1,14,Home/Bedding/Bed Pillows
1072864_1031899_1231240,1,14,Home Improvement/Tools/Pressure Washers
1085666_1007040_1001525,1,14,Beauty/Makeup/Eyes
4171_4173_133035,1,14,"Toys/Pretend Play, Arts & Crafts for Kids/Kitchens, Playfood & Housekeeping"
3944_96469_4533,1,14,Electronics/Portable Audio/Radios
1085666_36290_1044819,1,14,Beauty/Massagers & Spa/Massagers
1085666_1071969_1001515,1,14,Beauty/Bath & Body/Hand Creams & Lotions
5440_202072_202087,1,14,Pets/Dogs/Treats & Chews
976759_976791_1001423,1,14,Food/Frozen Foods/Ice Cream & Novelties
1229749_1046059_1044276,1,14,Office/Office Supplies/Self Stick Notes
1229749_1086976_1086986,1,13,Office/Breakroom Supplies/Paper & Plastic Supplies
4044_133012_1087493,1,13,Home/Decor/Artificial Plants & Flowers
976759_976782_1001680,1,13,Food/Beverages/Soft Drinks
5438_1078024_1228576,1,13,Clothing/Intimates & Sleepwear/Chemises & Lingerie Sets
91083_1074769_1072095,1,13,Auto & Tires/Interior Car Accessories/Car Seat Covers
4096_530598_530721,1,13,Movies & TV/Movies/Westerns
1085666_1007219_651059,1,13,Beauty/Hair Care/Hair Styling Tools
4044_133012_925499,1,13,Home/Decor/Candles & Candle Holders
4125_1063984_1064022,1,13,Sports & Outdoors/Sports Fan Shop/Personal Care Fan Shop
5438_133284_1227865,1,13,Clothing/Maternity/Maternity Bottoms
4104_4118_5094,1,13,Music/Rock/Heavy Metal
4096_616859_617003,1,13,Movies & TV/Blu-ray/Comedy
1085666_1007219_1006999,1,13,Beauty/Hair Care/Hair Color
1072864_1067619_1043753,1,13,Home Improvement/Electrical/Electronic Communication Components
1072864_1230395_1228706,1,13,Home Improvement/Work Safety Clothing and Equipment/Protective Outerwear
1085666_36290_1044011,1,13,Beauty/Massagers & Spa/Massage Equipment
1072864_1071485_1230882,1,13,Home Improvement/Kitchen Renovation/Kitchen Hardware
976759_976787_1001392,1,13,"Food/Snacks, Cookies & Chips/Crackers"
4044_90548_90791,1,13,Home/Appliances/Refrigerators and Freezers
5438_1228241_1091625,1,12,Clothing/Industrial Workwear/Professional Uniforms
4096_530598_530720,1,12,Movies & TV/Movies/War & Military
3944_133251_1043559,1,12,Electronics/Audio/Audio Visual Accessories
1072864_133032_1085409,1,12,"Home Improvement/Heating, Cooling, & Air Quality/Thermostats"
3891_532459_1019840,1,12,Jewelry/Personalized Jewelry/Personalized Rings
976759_976794_1001474,1,12,"Food/Meal Solutions, Grains & Pasta/Grains & Rice"
5428_4089_118176,1,12,Patio & Garden/Grills & Outdoor Cooking/Grill Tools & Accessories
1072864_1172176_1044068,1,12,Home Improvement/Building Materials/Siding & Exterior Trim
5438_1106401,1,12,Clothing/Other Apparel
2637_1042319_1212904,1,12,Party & Occasions/Party Supplies/Disposable Tableware
1105910_133161_1103334,1,12,Cell Phones/Accessories/Screen Protectors
1085666_1005862_1001719,1,12,Beauty/Personal Care/Hand Soap & Sanitizers
4104_4107_5019,1,12,Music/Christian \/ Gospel/Gospel
1085666_36290_600471,1,12,Beauty/Massagers & Spa/Aromatherapy & Relaxation
91083_1074767_1044300,1,12,"Auto & Tires/Auto Body Tools & Equipment/Ramps, Lifts, and Jacks"
1085666_1005862_1001741,1,12,Beauty/Personal Care/Foot Care
5438_133197_489816,1,12,Clothing/Men/Men's Sleepwear & Robes
91083_1074765_1196580,1,12,"Auto & Tires/Auto Parts/Switches, Sensors and Relays"
4044_1156136_1156142,1,12,Home/Teen Rooms/Furniture
2637_667479_1095481,1,12,Party & Occasions/Crafts/Yarn
4171_4191_133123,1,12,Toys/Games & Puzzles/Board Games
1072864_1172176_1044061,1,12,Home Improvement/Building Materials/Guttering & Drainage
3944_3951_132982,1,12,Electronics/Computers/Desktop Computers
4044_539095,1,11,Home/Bath
976760_1078944_1001544,1,11,Health/Walmart Vision Centers/Eye Care
3891_1228263_1228268,1,11,Jewelry/Fashion Jewelry/Fashion Jewelry Sets
976760_1005863_1001552,1,11,Health/Vitamins/Herbals
1115193_1071967_1149379,1,11,Household Essentials/Laundry Room/Laundry Detergents
2636_1056224_1057765,1,11,Video Games/Used Video Games/Used Games
5438_133198_538913,1,11,Clothing/Big & Tall/Big & Tall Jackets & Outerwear
5427_86323_164195,1,11,Baby/Baby Gear/Diaper Bags
3944_133277_4549,1,11,Electronics/Cameras & Camcorders/All Camcorders
976759_1096070_1224976,1,11,Food/Candy & Gum/Chocolate
4125_546956_111667,1,11,Sports & Outdoors/Outdoor Sports/Fishing
3944_538883_604044,1,11,Electronics/GPS & Navigation/Accessories
1229749_1046059_1072375,1,11,Office/Office Supplies/Forms & Recordkeeping
976759_976794_1001477,1,11,"Food/Meal Solutions, Grains & Pasta/Boxed Meals"
1072864_1172176_1044055,1,11,"Home Improvement/Building Materials/Asphalt, Concrete & Masonry"
976759_976787_1001406,1,11,"Food/Snacks, Cookies & Chips/Nuts & Trail Mixes"
91083_1080484_49954,1,11,"Auto & Tires/ATV, Motorcycle, & RV Accessories/ATV Accessories"
4044_539095_1024880,1,11,Home/Bath/Curtain Hooks & Rods
3920_582053_584181,1,11,Books/Children's Books/Literature & Fiction
976759_976780_1001368,1,11,Food/Baking/Baking Mixes
4171_14521_86644,1,10,Toys/Outdoor Play/Climbers & Slides
4171_14521_49400,1,10,Toys/Outdoor Play/Swing Sets
5427_133283_136295,1,10,Baby/Feeding/Bottle Feeding
2637_633379_628739,1,10,Party & Occasions/Christmas Decor/Indoor Holiday Decor
1085666_1005862_1001487,1,10,Beauty/Personal Care/Deodorants & Antiperspirant
